Ward,District,PR.reg.1930-10-03,PR.yes,PR.no,Scully.D.Mayor,Foster.R.Mayor,Ring.S.Mayor,Scully.ID.Mayor
1,1,1374,192,490,620,345,124,19
1,2,1469,155,667,680,342,195,39
1,3,1417,202,457,546,384,194,19
1,4,1414,255,450,501,400,268,29
1,5,1335,213,454,455,392,282,22
1,6,511,191,97,120,135,55,5
2,1,1550,530,478,639,608,84,8
2,2,1162,497,306,377,555,68,2
2,3,1471,663,452,492,729,58,6
2,4,1424,190,512,599,357,222,17
2,5,1503,247,558,644,435,218,20
2,6,1257,524,346,367,598,103,0
2,7,1388,571,288,485,608,83,4
3,1,1194,644,229,215,753,63,3
3,2,1242,558,295,306,711,55,9
3,3,1362,534,392,404,620,121,23
3,4,1498,381,537,508,570,226,22
3,5,1684,197,756,646,518,266,25
3,6,998,363,333,349,451,47,7
3,7,1155,359,417,490,452,55,12
3,8,1117,194,448,500,293,81,10
4,1,1575,186,663,735,501,143,21
4,2,1850,228,703,714,531,303,28
4,3,1630,178,765,959,327,124,7
4,4,1149,342,285,411,432,103,16
5,1,1378,84,629,783,240,142,8
5,2,1240,104,578,773,209,73,16
5,3,1423,275,511,667,405,133,11
5,4,1298,343,436,532,479,113,11
5,5,1395,219,503,585,352,150,25
5,6,1325,457,349,440,546,92,14
5,7,1334,436,340,339,587,146,10
